Using device:  cuda

Epoch 68/100: train_loss: 0.03938 | test_loss: 0.03506 | epoch_time: 85.97 sec
Epoch 69/100: train_loss: 0.03928 | test_loss: 0.03542 | epoch_time: 85.94 sec
Epoch 70/100: train_loss: 0.03924 | test_loss: 0.03496 | epoch_time: 85.91 sec
Epoch 71/100: train_loss: 0.03916 | test_loss: 0.03535 | epoch_time: 85.97 sec
Epoch 72/100: train_loss: 0.03905 | test_loss: 0.03543 | epoch_time: 85.94 sec
Epoch 73/100: train_loss: 0.03895 | test_loss: 0.03542 | epoch_time: 85.93 sec
Epoch 74/100: train_loss: 0.03887 | test_loss: 0.03507 | epoch_time: 85.94 sec
Epoch 75/100: train_loss: 0.03885 | test_loss: 0.03524 | epoch_time: 85.94 sec
Epoch 76/100: train_loss: 0.03876 | test_loss: 0.03501 | epoch_time: 85.97 sec
Epoch 77/100: train_loss: 0.03849 | test_loss: 0.03461 | epoch_time: 85.94 sec
Epoch 78/100: train_loss: 0.03846 | test_loss: 0.03493 | epoch_time: 85.98 sec
Epoch 79/100: train_loss: 0.03841 | test_loss: 0.03474 | epoch_time: 85.96 sec
Epoch 80/100: train_loss: 0.03837 | test_loss: 0.03468 | epoch_time: 85.98 sec
Epoch 81/100: train_loss: 0.03835 | test_loss: 0.03471 | epoch_time: 85.95 sec
Epoch 82/100: train_loss: 0.03826 | test_loss: 0.03470 | epoch_time: 85.94 sec
Epoch 83/100: train_loss: 0.03823 | test_loss: 0.03461 | epoch_time: 85.99 sec
Epoch 84/100: train_loss: 0.03811 | test_loss: 0.03424 | epoch_time: 85.98 sec
Epoch 85/100: train_loss: 0.03809 | test_loss: 0.03462 | epoch_time: 85.95 sec
Epoch 86/100: train_loss: 0.03808 | test_loss: 0.03438 | epoch_time: 85.93 sec
Epoch 87/100: train_loss: 0.03801 | test_loss: 0.03444 | epoch_time: 85.95 sec
Epoch 88/100: train_loss: 0.03804 | test_loss: 0.03450 | epoch_time: 85.91 sec
Epoch 89/100: train_loss: 0.03800 | test_loss: 0.03453 | epoch_time: 85.99 sec
Epoch 90/100: train_loss: 0.03798 | test_loss: 0.03439 | epoch_time: 85.92 sec
Epoch 91/100: train_loss: 0.03791 | test_loss: 0.03428 | epoch_time: 85.97 sec
Epoch 92/100: train_loss: 0.03791 | test_loss: 0.03433 | epoch_time: 85.92 sec
Epoch 93/100: train_loss: 0.03786 | test_loss: 0.03432 | epoch_time: 85.92 sec
Epoch 94/100: train_loss: 0.03787 | test_loss: 0.03446 | epoch_time: 85.94 sec
Epoch 95/100: train_loss: 0.03785 | test_loss: 0.03430 | epoch_time: 85.96 sec
Epoch 96/100: train_loss: 0.03780 | test_loss: 0.03443 | epoch_time: 85.96 sec
Epoch 97/100: train_loss: 0.03779 | test_loss: 0.03436 | epoch_time: 85.93 sec
Epoch 98/100: train_loss: 0.03779 | test_loss: 0.03433 | epoch_time: 85.95 sec
Epoch 99/100: train_loss: 0.03786 | test_loss: 0.03427 | epoch_time: 85.89 sec
Epoch 100/100: train_loss: 0.03780 | test_loss: 0.03441 | epoch_time: 85.97 sec

RMSE: 0.18549
