Using device:  cuda

Epoch 68/100: train_loss: 0.03812 | test_loss: 0.03786 | epoch_time: 85.94 sec
Epoch 69/100: train_loss: 0.03789 | test_loss: 0.03786 | epoch_time: 85.94 sec
Epoch 70/100: train_loss: 0.03771 | test_loss: 0.03846 | epoch_time: 85.97 sec
Epoch 71/100: train_loss: 0.03760 | test_loss: 0.03810 | epoch_time: 86.01 sec
Epoch 72/100: train_loss: 0.03736 | test_loss: 0.03802 | epoch_time: 85.96 sec
Epoch 73/100: train_loss: 0.03713 | test_loss: 0.03770 | epoch_time: 85.94 sec
Epoch 74/100: train_loss: 0.03695 | test_loss: 0.03754 | epoch_time: 85.94 sec
Epoch 75/100: train_loss: 0.03684 | test_loss: 0.03804 | epoch_time: 85.93 sec
Epoch 76/100: train_loss: 0.03670 | test_loss: 0.03787 | epoch_time: 85.91 sec
Epoch 77/100: train_loss: 0.03650 | test_loss: 0.03718 | epoch_time: 85.93 sec
Epoch 78/100: train_loss: 0.03633 | test_loss: 0.03732 | epoch_time: 85.90 sec
Epoch 79/100: train_loss: 0.03619 | test_loss: 0.03773 | epoch_time: 85.97 sec
Epoch 80/100: train_loss: 0.03598 | test_loss: 0.03777 | epoch_time: 85.95 sec
Epoch 81/100: train_loss: 0.03588 | test_loss: 0.03729 | epoch_time: 85.96 sec
Epoch 82/100: train_loss: 0.03567 | test_loss: 0.03677 | epoch_time: 86.02 sec
Epoch 83/100: train_loss: 0.03551 | test_loss: 0.03759 | epoch_time: 85.98 sec
Epoch 84/100: train_loss: 0.03537 | test_loss: 0.03774 | epoch_time: 85.96 sec
Epoch 85/100: train_loss: 0.03522 | test_loss: 0.03705 | epoch_time: 85.95 sec
Epoch 86/100: train_loss: 0.03512 | test_loss: 0.03649 | epoch_time: 85.97 sec
Epoch 87/100: train_loss: 0.03489 | test_loss: 0.03648 | epoch_time: 85.97 sec
Epoch 88/100: train_loss: 0.03480 | test_loss: 0.03676 | epoch_time: 86.02 sec
Epoch 89/100: train_loss: 0.03465 | test_loss: 0.03761 | epoch_time: 86.01 sec
Epoch 90/100: train_loss: 0.03458 | test_loss: 0.03696 | epoch_time: 85.94 sec
Epoch 91/100: train_loss: 0.03436 | test_loss: 0.03634 | epoch_time: 85.89 sec
Epoch 92/100: train_loss: 0.03428 | test_loss: 0.03755 | epoch_time: 85.97 sec
Epoch 93/100: train_loss: 0.03412 | test_loss: 0.03741 | epoch_time: 85.94 sec
Epoch 94/100: train_loss: 0.03400 | test_loss: 0.03709 | epoch_time: 85.99 sec
Epoch 95/100: train_loss: 0.03383 | test_loss: 0.03635 | epoch_time: 85.94 sec
Epoch 96/100: train_loss: 0.03366 | test_loss: 0.03602 | epoch_time: 85.98 sec
Epoch 97/100: train_loss: 0.03352 | test_loss: 0.03660 | epoch_time: 85.90 sec
Epoch 98/100: train_loss: 0.03343 | test_loss: 0.03613 | epoch_time: 86.00 sec
Epoch 99/100: train_loss: 0.03340 | test_loss: 0.03622 | epoch_time: 85.97 sec
Epoch 100/100: train_loss: 0.03323 | test_loss: 0.03637 | epoch_time: 86.00 sec

RMSE: 0.19071
